prompt,intent,classes
"Enable text wrapping for the ""Address"" column",Wrap text,formatting
Please remove the hyperlinks from <Cell> to <Cell>,Delete hyperlink,entry and manipulation
"Resize the cells in the ""Description"" column to match the other columns",Resize cells,formatting
"Trunk/Functional"": Show only rows where the task completion percentage is below <Number>%",Filter,management
"Protect ""Payment Date"" column from accidental edits",Lock,formatting
Set legend position based on mouse hover for area chart with user engagement data,Set chart legend,charts
What are the options when I delete a named range in Excel,Delete named range,management
Set up a combo chart illustrating stock prices for multiple companies and add an exponential growth trend line to identify potential investment opportunities,Set trend line,charts
Modify Pivot Table Source Data to track customer response rates to email marketing campaigns ,Change Pivot Table Source Data,pivot tables
Use a different color scheme to highlight data points with different attributes on a scatter plot,Highlight data points,charts
Using a contrasting color palette to highlight data trends on a line chart should be avoided,Set chart color,charts
Highlight specific data points in a pie chart with a different fill color for emphasis,Format data points,charts
How could you get rid of pivot table for customer buying behavior,Remove Pivot Table,pivot tables
Generate a Pivot Chart to compare the sales performance across different product variants,Create Pivot chart,charts
"Do you want to accept only positive numbers when choosing a ""Account Balance"" column",Data validation,formatting
Update Pivot Table Source Data to include customer satisfaction rating by product features,Change Pivot Table Source Data,pivot tables
Apply a dark theme color scheme on a heatmap chart for striking visual effect Apply a dark theme colour scheme on a heatmap chart for a striking visual effect,Set chart color,charts
Remove data labels from a funnel chart To make it cleaner,Remove data labels,charts
Unwrap text in rows <Number> to <Number> for better readability,Unwrap text,formatting
Take off the filter from the <Name> column,Delete filter,management
Resize chart legend background: Change the background of the chart for better visibility,Resize chart,charts
How can you arrange data in column I from largest to smallest based on icons,Sort,management
Can you format the data in a cell to make it visually appealing,Format cells,formatting
Is it possible to reveal rows hidden in the list,Unhide rows,management
" Filter pivot table to show only data for a specific marketing campaign or promotion, before merging other fields into the pivot table",Filter Pivot Table,pivot tables
"As a code, please autofill values in column CH to match the adjacent cells",Autofill,entry and manipulation
How do I increase the width of the Address Column in WordPress,Autofit,formatting
Set hyperlinks for cells <Cell> to <Cell> that direct to specific sections within an e-commerce website,Set hyperlink,entry and manipulation
"Use text wrapping for the ""Memo"" column",Wrap text,formatting
How do we combine monthly financial forecasts from our finance team into one projection,Data consolidation,management
Refresh pivot table data to reflect latest changes in source data,Format Pivot Table,pivot tables
How would you copy the fonts from cell <Cell> and apply them to cell <Cell>,Copy-paste format,entry and manipulation
"In a customer retention graphic, ""copy and paste the second quartile (the earliest quartile) to the first quartile of the pivot",Set summary type,pivot tables
Highlight data points in a pie chart with a different fill color for emphasis,Format data points,charts
Customize legend title font on radar chart showing market trends,Set chart legend,charts
Will there be a drop-down list of task type in the Task Scheduler Or will this be configurable automatically,Drop-down list,formatting
